bottle,salinity,file_name,titrant_molinity,alkalinity
H01-1,28.3,0-0  0  (0)H01-1.dat,0.099178083,2371.506561
H01-2,28.3,0-0  0  (0)H01-2.dat,0.099178083,2370.098579
H02,28.3,0-0  0  (0)H02.dat,0.099178083,2373.610996
H03-1,28.3,0-0  0  (0)H03-1.dat,0.099178083,2371.734821
H03-2,28.3,0-0  0  (0)H03-2.dat,0.099178083,2370.752602
H04,28.3,0-0  0  (0)H04.dat,0.099178083,2373.424377
H05,28.3,0-0  0  (0)H05.dat,0.099178083,2373.292614
H06,28.3,0-0  0  (0)H06.dat,0.099178083,2373.886777
H07,28.3,0-0  0  (0)H07.dat,0.099178083,2372.422411
H08,28.3,0-0  0  (0)H08.dat,0.099178083,2373.390231
